VIN,UPC,BRAND,DESCRIPTION,PK Size,PK_UOM,ITEM STRENGTH,STRENGTH UOM,ITEM SIZE,ITEM UOM,WHLSALE,MSRP,MAP,HEIGHT,WIDTH,DEPTH,WEIGHT,Case Height,Case Width,Case Length,Case Weight,Case Pack,Case Cost,Notes
100LC,790011020059,JARROW,L-Carnitine ,1,EA,250,MG,100,CAPS, $11.00 , $21.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $132.00 ,
500LC,790011020011,JARROW,L-Carnitine ,1,EA,500,MG,50,CAPS, $11.50 , $22.95 ,,3.41,2.015,2.015,0.15,4.5,6.5,9,2,12, $138.00 ,
500SLC,790011020028,JARROW,L-Carnitine ,1,EA,500,MG,100,CAPS, $21.00 , $41.95 ,,4.22,2.382,2.382,0.28,5,8,10.5,3.56,12, $252.00 ,
5MTHF,790011300069,JARROW,Methyl Folate,1,EA,400,MCG,60,CAPS, $5.00 , $9.95 ,,3.25,1.75,1.75,0.065,4,6,8,0.98,12, $60.00 ,
AC120,790011150329,JARROW,Acetyl L-Carnitine,1,EA,250,MG,120,CAPS, $12.00 , $23.95 ,,4.22,2.382,2.382,0.15,5.5,7.5,10.5,2,12, $144.00 ,
ACARN,790011020073,JARROW,Acetyl L-Carnitine,1,EA,250,MG,60,CAPS, $8.00 , $15.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $96.00 ,
ACE,790011150374,JARROW,Acetyl L-Carnitine,1,EA,500,MG,60,CAPS, $11.50 , $22.95 ,,3.645,2.09,2.09,0.14,4.5,6.5,9,1.88,12, $138.00 ,
ACEBG,790011150626,JARROW,Acetyl L-Carnitine,1,EA,500,MG,120,CAPS, $19.50 , $38.95 ,,4.22,2.382,2.382,0.25,5.5,8,10.5,3.2,12, $234.00 ,
ACV,055358314002,OMEGA,Apple Cider Vinegar,1,EA,12,FL OZ,12,FL OZ, $3.55 , $5.25 ,,8.63,2.37,2.37,0.9,9,7.5,10,11,12, $42.60 ,
ADREN,790011290322,JARROW,Adrenal Optimizer ,1,EA,N/A,N/A,60,TABS, $13.00 , $25.95 ,,3.79,2.21,2.21,0.3,4.5,7.5,10,3.8,12, $156.00 ,
AGPC,790011560029,JARROW,Alpha GPC,1,EA,300,MG,60,CAPS, $20.00 , $39.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $240.00 ,
ALA,790011200024,JARROW,Alpha Lipoic Acid,1,EA,100,MG,60,TABS, $6.00 , $11.95 ,,3.41,2.015,2.015,0.1,4.5,6.5,9,1.4,12, $72.00 ,
ALA180,790011200031,JARROW,Alpha Lipoic Acid,1,EA,100,MG,180,TABS, $12.00 , $23.95 ,,3.815,2.21,2.21,0.3,4.5,7.5,9.5,3.8,12, $144.00 ,
ALA300,790011200109,JARROW,Alpha Lipoic Sustain,1,EA,300,MG,60,TABS, $12.50 , $24.95 ,,3.645,2.09,2.09,0.2,4.5,7,9.5,2.6,12, $150.00 ,
ALA90,790011200086,JARROW,Alpha Lipoic Acid,1,EA,100,MG,90,CAPS, $8.50 , $16.95 ,,3.645,2.09,2.09,0.16,4.5,6.5,9,2.12,12, $102.00 ,
ALAS,790011200215,JARROW,Alpha Lipoic Sustain,1,EA,300,MG,30,TABS, $7.50 , $14.95 ,,3.23,1.84,1.84,0.1,4,6.5,8.5,1.4,12, $90.00 ,
ALAS120,790011200369,JARROW,Alpha Lipoic Sustain - Value Size,1,EA,300,MG,120,TABS, $20.00 , $39.95 ,,4.25,2.25,2.25,0.4,5,8,10.5,5,12, $240.00 ,
ALCA,790011020097,JARROW,Acetyl L-Carnitine Arginate,1,EA,500,MG,100,CAPS, $20.00 , $39.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $240.00 ,
ALCALA,790011020134,JARROW,Acetyl L-Carnitine+ALA,1,EA,500,MG,100,CAPS, $20.00 , $39.95 ,,4.22,2.382,2.382,0.25,5,8,10.5,3.2,12, $240.00 ,
ALLER,790011290537,JARROW,AllerTame�,1,EA,N/A,N/A,60,SFTGELS, $15.00 , $29.95 ,,4.22,2.382,2.382,0.27,5,8,10.5,3.44,12, $180.00 ,
ANT,790011010012,JARROW,Anti-Oxidant Optimizer,1,EA,N/A,N/A,90,TABS, $11.00 , $21.95 ,,3.815,2.21,2.21,0.3,4.5,7,9.5,3.8,12, $126.00 ,
ARG,790011150367,JARROW,L-Arginine,1,EA,1000,MG,100,TABS, $9.00 , $17.95 ,,4.42,2.5,2.5,0.4,5.5,8,11,5,12, $108.00 ,
AROR,790011150411,JARROW,Arginine + Ornithine,1,EA,750,MG,100,CAPS, $8.50 , $16.95 ,,4.42,2.5,2.5,0.3,5,8,10.5,3.8,12, $102.00 ,
ART500,790011140627,JARROW,Artichoke,1,EA,500,MG,180,CAPS, $14.50 , $28.95 ,,5.16,2.825,2.825,0.41,6,9,12,5.12,12, $174.00 ,
ASHWA,790011220145,JARROW,Ashwagandha,1,EA,225,MG,120,CAPS, $11.50 , $22.95 ,,4.22,2.382,2.382,0.25,5,8,10.5,3.2,12, $138.00 ,
ASTA60,790011200383,JARROW,Astaxanthin,1,EA,4,MG,60,SFTGELS, $10.50 , $20.95 ,,3.87,2.12,2.12,0.143,4.5,6.5,9,1.916,12, $126.00 ,
ASTAHP,790011200413,JARROW,Astaxanthin,1,EA,12,MG,30,SFTGELS, $14.00 , $27.95 ,,3.25,1.87,1.87,0.085,4,6,8,1.22,12, $168.00 ,
B,790011010067,JARROW,B-Right (Complex),1,EA,N/A,N/A,100,CAPS, $10.00 , $19.95 , $13.97 ,4.67,2.57,2.57,0.6,5,8,10.5,7.4,12, $108.00 ,
B12,790011180012,JARROW,"Methyl B12, Methylcobalamin",1,EA,1000,MCG,100,LOZENGES, $6.00 , $11.95 , $8.37 ,3.23,1.84,1.84,0.35,4,6.5,8.5,4.4,12, $72.00 ,
B3,790011180098,JARROW,Niacinamide ,1,EA,250,MG,100,CAPS, $4.50 , $8.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $54.00 ,
B5,790011180104,JARROW,Pantothenic Acid,1,EA,500,MG,100,CAPS, $4.50 , $8.95 ,,4.22,2.382,2.382,0.25,5,8,10.5,3.2,12, $54.00 ,
B5000,790011180043,JARROW,"Methyl B12, Methylcobalamin",1,EA,5000,MCG,60,LOZENGES, $15.00 , $29.95 , $20.97 ,3.23,1.84,1.84,0.31,4,6.5,8.5,3.92,12, $180.00 ,
BAB,790011030133,JARROW,"Baby's Jarro Dophilus, 2.5oz",1,EA,3 BILLION ORGANISMS,PER GRAM,71,GM, $10.00 , $19.95 ,,3.645,2.09,2.09,0.22,5,7,9,2.84,12, $108.00 ,
BB,790011030102,JARROW,Bifidus Balance + FOS,1,EA,2 BILLION ORGANISMS,PER CAP,100,CAPS, $9.00 , $17.95 ,,3.645,2.09,2.09,0.15,4.5,7,9,2,12, $96.00 ,
BCAA,790011150534,JARROW,BCAAs w/ Glutamine,1,EA,600,MG,120,CAPS, $8.00 , $15.95 ,,4.42,2.5,2.5,0.27,5,8,10.5,3.44,12, $96.00 ,
BERG,790011140856,JARROW,Citrus Bergamot,1,EA,500,MG,60,CAPS, $21.50 , $42.95 ,,3.75,2,2,0.14,4.5,7,9.5,1.88,12, $258.00 ,
BIL,790011140016,JARROW,Bilberry+ Grapeskin polyphenols,1,EA,280,MG,60,CAPS, $11.00 , $21.95 ,,3.23,1.84,1.84,0.12,4,6,8,1.64,12, $132.00 ,
BILE,790011240020,JARROW,Bile Acid Factors,1,EA,333,MG,90,CAPS, $16.50 , $32.95 ,,4.22,2.382,2.382,0.2,5,7.5,10.5,2.6,12, $192.00 ,
BLK60,790011200345,JARROW,Blackcurrant Extract,1,EA,200,MG,60,CAPS, $11.00 , $21.95 ,,3.645,2.09,2.09,0.12,4.5,6.5,9.5,1.64,12, $132.00 ,
BMCG,790011180159,JARROW,"Methyl B12, Methylcobalamin",1,EA,500,MCG,100,LOZENGES, $5.00 , $9.95 ,,3.5,1.87,1.87,0.183,4,6.5,8.5,2.396,12, $60.00 ,
BRAIN,790011290544,JARROW,Brain Boost,1,EA,N/A,N/A,60,VCAPS, $13.00 , $25.95 ,,3.67,2.13,2.13,0.12,4.5,6.5,9.5,1.64,12, $156.00 ,
BROC,790011200277,JARROW,BroccoMax,1,EA,375,MG,60,CAPS, $13.50 , $26.95 ,,3.645,2.09,2.09,0.1,4.5,6.5,9,1.4,12, $162.00 ,
BROM,790011230052,JARROW,Bromelain 1000,1,EA,500,MG,30,TABS, $4.25 , $8.50 ,,3.23,1.84,1.84,0.1,3,6,8,1.4,12, $51.00 ,
BROM60,790011230069,JARROW,Bromelain 1000,1,EA,500,MG,60,TABS, $7.75 , $14.50 ,,3.815,2.21,2.21,0.18,4.5,7,9.5,2.36,12, $93.00 ,
BTN,790011180050,JARROW,Biotin,1,EA,5,MG,100,CAPS, $8.00 , $15.95 , $11.16 ,3.815,2.21,2.21,0.22,4.5,7,9.5,2.84,12, $96.00 ,
BU120,790011040019,JARROW,Bone-Up,1,EA,N/A,N/A,120,CAPS, $8.50 , $16.95 , $11.87 ,4.42,2.5,2.5,0.4,5,8,11,5,12, $102.00 ,
BU240,790011040033,JARROW,Bone-Up,1,EA,N/A,N/A,240,CAPS, $15.00 , $28.95 ,,5.22,3.07,3.07,0.76,6,10,13,9.32,12, $180.00 ,
BU360,790011048053,JARROW,Bone-Up - Value Size,1,EA,N/A,N/A,360,CAPS, $22.50 , $39.95 ,,6.625,3.375,3.375,1.16,7.5,11,15,14.12,12, $270.00 ,
BUTPD,790011048060,JARROW,Bone-Up - Three Per Day,1,EA,N/A,N/A,90,CAPS, $10.00 , $19.95 ,,5,2.68,2.68,0.46,5.5,8.5,11,5.72,12, $120.00 ,
CALMAG,790011130123,JARROW,Cal-Mag Citrates,1,EA,N/A,N/A,90,TABS, $4.50 , $8.95 ,,4.42,2.5,2.5,0.35,5,8,11,4.4,12, $51.00 ,
