upc,asin,cost,marketplace,group,title,author,img,rank,status,msg,oversize,weight,new-fba-offers,used-fba-offers,collectible-fba-offers,total-fba-offers,new-offers,used-offers,collectible-offers,total-offers,amazon_price,lowFBA,low-new-FBA,low-used-FBA,low-collectible-FBA,lowMFN,low-new-MFN,low-used-MFN,low-collectible-MFN,net_payout,margin_impact,margin_percent,profit_percent
838766005201,B007A4WFWU,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Chocolate Large Tub30.9 oz,,http://ecx.images-amazon.com/images/I/41-QfNoBM5L.jpg,"2,055",accept,,no,2,4,0,0,4,8,0,0,8,$54.99 ,$59.99 ,$59.99 ,,,$54.99 ,$54.99 ,,,($13.10),$42.89 ,-30.54%,-23.40%
838766005218,B007A4WG3S,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Berry Large Tub 30oz,,http://ecx.images-amazon.com/images/I/41HRLUpog6L.jpg,"12,005",accept,,no,2,4,0,0,4,6,0,0,6,,$55.99 ,$55.99 ,,,$54.94 ,$54.94 ,,,($12.24),$43.75 ,-27.98%,-21.86%
838766005218,B00NJE670G,$55.99 ,US,Sports,Vega Nutritional Shake Berry 30oz - Men's,,http://ecx.images-amazon.com/images/I/41Gn9MU%2BtlL.jpg,"361,040",accept,,no,2,0,0,0,0,2,0,0,2,,,,,,$54.99 ,$54.99 ,,,($13.09),$42.90 ,-30.51%,-23.38%
838766005225,B0079BZCVU,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Natural Large Tub 30.4oz,,http://ecx.images-amazon.com/images/I/41jN7X2pypL.jpg,"6,461",accept,,no,2,3,0,0,3,3,0,0,3,$54.99 ,$59.99 ,$59.99 ,,,,,,,($13.09),$42.90 ,-30.51%,-23.38%
838766005225,B00NJE8OKW,$55.99 ,US,Health and Beauty,Vega Nutritional Shake Natural 30oz - Men's,,http://ecx.images-amazon.com/images/I/41Mwh5EU45L.jpg,"321,531",accept,,no,2.25,0,0,0,0,3,0,0,3,,,,,,$57.98 ,$57.98 ,,,($10.55),$45.44 ,-23.22%,-18.84%
838766005232,B0079BZDK0,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Vanilla Chai Large Tub 30.8oz,,http://ecx.images-amazon.com/images/I/41cx2VuiLoL.jpg,"4,523",accept,,no,2,2,0,0,2,10,0,0,10,$54.99 ,$59.99 ,$59.99 ,,,$54.98 ,$54.98 ,,,($13.09),$42.90 ,-30.51%,-23.38%
838766005232,B00HQZ02VE,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake - Vanilla Chai SeQuel 30.8 oz Powder,,http://ecx.images-amazon.com/images/I/41tHcBfJmjL.jpg,"158,958",accept,,no,0,0,0,0,0,2,0,0,2,,,,,,$56.99 ,$56.99 ,,,($10.03),$45.96 ,-21.82%,-17.91%
838766005249,B0096DZ5B6,$55.99 ,US,Health and Beauty,Vega One Shake French Vanilla 30 oz,,http://ecx.images-amazon.com/images/I/41AMmMy8-JL.jpg,"74,451",accept,,no,2.25,0,0,0,0,3,0,0,3,,,,,,$60.94 ,$60.94 ,,,($9.20),$46.79 ,-19.66%,-16.43%
838766005249,B00AETJ18O,$55.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake French Vanilla Large Tub 30oz,,http://ecx.images-amazon.com/images/I/41qbJjxjR5L.jpg,"1,591",accept,,no,1.82,3,0,0,3,6,0,0,6,$54.99 ,$59.99 ,$59.99 ,,,$64.99 ,$64.99 ,,,($13.09),$42.90 ,-30.51%,-23.38%
838766005256,B007ARW446,$31.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Chocolate Small Tub 16 oz,,http://ecx.images-amazon.com/images/I/413Xs3jnG6L.jpg,"13,691",accept,,no,1,1,0,0,1,2,0,0,2,$32.99 ,,,,,$33.98 ,$33.98 ,,,($7.36),$24.63 ,-29.88%,-23.01%
838766005256,B00HQQBQNG,$31.99 ,US,Health and Beauty,Vega Nutritional Shake Chocolate 15oz,,http://ecx.images-amazon.com/images/I/41o81Rai-fL.jpg,"200,243",accept,,no,0,0,0,0,0,1,0,0,1,,,,,,$62.73 ,$62.73 ,,,$17.91 ,$49.90 ,35.89%,55.99%
838766005256,B00NGAOAV6,$31.99 ,US,Health and Beauty,Vega Nutritional Shake Chocolate 15oz - Men's,,http://ecx.images-amazon.com/images/I/41iaiW30g3L.jpg,"732,891",accept,,no,1.2,0,0,0,0,2,0,0,2,,,,,,$35.94 ,$35.94 ,,,($4.81),$27.18 ,-17.70%,-15.04%
838766005263,B007ARW3VK,$31.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Berry Small Tub 15oz,,http://ecx.images-amazon.com/images/I/415VQkrnR2L.jpg,"34,176",accept,,no,1,1,0,0,1,3,0,0,3,$29.99 ,,,,,$35.94 ,$35.94 ,,,($9.92),$22.07 ,-44.95%,-31.01%
838766005270,B007ARW496,$31.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Natural Small Tub 15.2oz,,http://ecx.images-amazon.com/images/I/41UfHKflYTL.jpg,"25,491",accept,,no,1,1,0,0,1,2,0,0,2,$32.99 ,,,,,$35.94 ,$35.94 ,,,($7.36),$24.63 ,-29.88%,-23.01%
838766005287,B007ARW4DC,$31.99 ,US,Health and Beauty,Vega One All-in-One Nutritional Shake Vanilla Chai Small Tub 15.4oz,,http://ecx.images-amazon.com/images/I/41cnFfgugPL.jpg,"17,064",accept,,no,1,1,0,0,1,4,0,0,4,$32.99 ,,,,,$32.99 ,$32.99 ,,,($7.37),$24.62 ,-29.94%,-23.04%
